Run,Tavg_ms,Omega_est_deg_s
65,5,1.82925484685504e-05
65,10,-1.72051947914082e-05
65,20,-1.77000599940032e-05
66,1,1.18792040924066e-05
66,2,-3.91419103170502e-05
66,5,-2.29348050208697e-05
66,10,-1.90144039001233e-05
66,20,-7.47341610394102e-06
67,1,-5.57007758405855e-05
67,2,-5.77727694683747e-05
67,5,-2.37935782723069e-05
67,10,-1.45871810841611e-06
67,20,8.02130273892521e-06
68,1,1.60612231717772e-05
68,2,2.53771049120552e-06
68,5,-7.6766190344416e-06
68,10,9.9140213765264e-06
68,20,4.3885193187886e-06
69,1,-4.53370364000071e-05
69,2,-1.0686708337617e-05
69,5,2.30977295510095e-05
69,10,1.3630661511226e-05
69,20,-1.03670275299891e-05
70,1,-8.25519890779324e-05
70,2,-8.89544351569401e-05
70,5,-3.6955457711941e-05
70,10,-2.65942760870605e-05
70,20,-1.19401621329509e-05
71,1,-8.00869282444237e-06
71,2,2.4063826478613e-06
71,5,9.20832095650778e-07
71,10,-1.31737216138878e-05
71,20,5.6167063405742e-06
72,1,2.89195048442185e-05
72,2,2.69597442443736e-05
72,5,1.16220840066567e-06
72,10,2.05894171691664e-05
72,20,1.00256592308851e-05
73,1,-4.67404206028504e-05
73,2,-1.97418385142597e-05
73,5,2.15932789719587e-05
73,10,3.97221893653842e-06
73,20,1.13938731878333e-05
74,1,2.80010614190711e-05
74,2,2.07910249914099e-05
74,5,2.56802524945687e-05
74,10,3.84195618123498e-06
74,20,9.80879266094704e-06
75,1,3.13846576922485e-05
75,2,5.0646452319963e-05
75,5,5.03273531065916e-05
75,10,3.12187963539205e-05
75,20,-7.82216743663314e-06
76,1,-5.54258213185504e-05
76,2,-6.51141360977964e-05
76,5,-4.45660173447297e-06
76,10,4.8140772566615e-06
76,20,7.82351127692547e-06
77,1,3.19360262080722e-05
77,2,-7.45789568203134e-06
77,5,-3.20348535730587e-05
77,10,-3.02338201856656e-05
77,20,-2.79266964134148e-05
78,1,-7.28383060132206e-05
78,2,-7.74786200210083e-05
78,5,-4.64596964863228e-05
78,10,-3.440073806208e-05
78,20,-1.85074177810051e-05
79,1,-1.64910629932239e-05
79,2,-3.14297367094835e-05
79,5,-1.97041625276463e-05
79,10,-1.97957293088566e-05
79,20,1.49476308609122e-05
80,1,2.47173958818178e-05
80,2,1.09958719232066e-05
80,5,-2.13915657015729e-05
80,10,-2.83051171063188e-05
80,20,-3.86605508440316e-05
81,1,1.42136736686084e-05
81,2,-9.13765815751572e-06
81,5,1.67307792349402e-05
81,10,-2.04372451009504e-05
81,20,-1.70583159204213e-05
82,1,-4.00743036273024e-05
82,2,-3.90208047354857e-05
82,5,-3.07876701401158e-05
82,10,-2.14221686958613e-05
82,20,-7.25553193982776e-06
83,1,8.05946465542372e-05
83,2,6.45323136810812e-05
83,5,-2.13111992231465e-06
83,10,7.46254515267842e-06
83,20,-1.89911052764688e-06
84,1,2.45978925872353e-05
84,2,4.89341963187439e-05
84,5,2.75871801881428e-05
84,10,1.89037021241086e-05
84,20,-5.7524059925081e-06
85,1,1.28008420060464e-05
85,2,4.19260925183219e-05
85,5,2.94244619037648e-05
85,10,1.71401646873019e-05
85,20,1.12710361734752e-05
86,1,-3.34319347340236e-05
86,2,-3.90204013342117e-05
86,5,-2.33026543261438e-05
86,10,-1.26321645750981e-05
86,20,-1.60432490421617e-05
87,1,3.9570980705592e-05
87,2,-6.30385748374791e-06
87,5,-1.93859546780369e-05
87,10,-2.31260894016661e-05
87,20,-2.96753732977309e-06
88,1,0.000131142017637434
88,2,9.06246558756597e-05
88,5,5.05199988323846e-05
88,10,2.72179832160749e-05
88,20,8.24574196865169e-06
89,1,4.81893468918456e-05
89,2,4.18217862914213e-05
89,5,3.03961328053407e-05
89,10,1.47803433899442e-05
89,20,1.02547257843799e-05
90,1,-3.85040669082468e-05
90,2,-3.25706098872261e-05
90,5,-4.80213119913337e-05
90,10,-1.72667877127817e-05
90,20,-9.76893900263975e-08
91,1,-6.70068361016064e-05
91,2,-3.0390324301967e-05
91,5,-2.91480791142149e-05
91,10,-6.94181362876118e-06
91,20,-1.00100679237664e-05
92,1,-4.80910241841027e-05
92,2,-5.24695617584555e-05
92,5,-3.80545981280745e-05
92,10,-1.27490273481805e-05
92,20,-6.00643804563378e-06
93,1,1.1126775527661e-05
93,2,7.15351768194397e-06
93,5,-5.24521621104855e-06
93,10,-1.24913485313169e-05
93,20,-4.48191304466236e-06
94,1,1.87466452358403e-06
94,2,-2.37461787733194e-05
94,5,-1.48223481507768e-05
94,10,-8.68581703278441e-06
94,20,1.87865521973873e-05
95,1,-3.12620590201681e-05
95,2,-1.6886614112569e-05
95,5,-6.50560492581929e-06
95,10,1.09097471850191e-05
95,20,8.9158235080576e-07
96,1,-5.91621849872877e-05
96,2,-4.34858568796393e-05
96,5,-2.01754633372887e-05
96,10,5.57997377713036e-07
96,20,-4.86063440229371e-06
97,1,-9.22487287568971e-06
97,2,-2.03795802069346e-05
97,5,-2.51604061134618e-05
97,10,-1.91615147594917e-05
97,20,-2.30031666322845e-05
98,1,3.96610920906442e-06
98,2,-9.39543338294735e-06
98,5,1.67343434159929e-05
98,10,1.05783477212371e-05
98,20,5.95205091049635e-06
99,1,2.44034664350439e-05
99,2,7.24571351370619e-06
99,5,-3.15779738369644e-05
99,10,-2.28699632063213e-05
99,20,-4.72039678962481e-07
100,1,-8.52531275827764e-05
100,2,-3.24578525962177e-05
100,5,1.59827477267168e-05
100,10,9.98635108048515e-06
100,20,-2.50485855493491e-07
