Former_material,Temperature_C,Coil_diameter_mm,Fiber_length_m,Group_index,Beta_rad,Relative_scale_factor,Scale_error_ppm,Error_at_1deg_s_deg_s,Error_at_20deg_s_deg_s
G10-FR4,-10,159.344291124642,999.98075,1.467906,1.83960895977374,0.999665375910943,-334.624089056934,-0.0003346240890569,-0.0066924817811386
G10-FR4,-5,159.35146387716,999.9835,1.467948,1.8396648223361,0.999713185193068,-286.814806931601,-0.0002868148069316,-0.005736296138632
G10-FR4,0,159.358636629678,999.98625,1.46799,1.83972068500751,0.999760992528778,-239.00747122152,-0.0002390074712215,-0.0047801494244303
G10-FR4,5,159.365809382195,999.989,1.468032,1.83977654778796,0.999808797917756,-191.202082243547,-0.0001912020822435,-0.0038240416448709
G10-FR4,10,159.372982134713,999.99175,1.468074,1.83983241067744,0.999856601359685,-143.398640314762,-0.0001433986403147,-0.0028679728062952
G10-FR4,15,159.380154887231,999.9945,1.468116,1.83988827367595,0.999904402854246,-95.5971457535787,-9.55971457535787e-05,-0.0019119429150715
G10-FR4,20,159.387327639748,999.99725,1.468158,1.83994413678347,0.999952202401124,-47.797598876187,-4.7797598876187e-05,-0.0009559519775237
G10-FR4,25,159.394500392266,1000,1.4682,1.84,1,2.22044604925031e-10,2.2204460492503099e-16,4.44089209850063e-15
G10-FR4,30,159.401673144784,1000.00275,1.468242,1.84005586332553,1.00004779565056,47.7956505582355,4.77956505582355e-05,0.0009559130111647
G10-FR4,35,159.408845897301,1000.0055,1.468284,1.84011172676005,1.00009558935248,95.5893524798856,9.55893524798856e-05,0.0019117870495977
G10-FR4,40,159.416018649819,1000.00825,1.468326,1.84016759030356,1.00014338110545,143.381105448537,0.0001433811054485,0.0028676221089707
G10-FR4,45,159.423191402337,1000.011,1.468368,1.84022345395605,1.00019117090915,191.170909146665,0.0001911709091466,0.0038234181829333
G10-FR4,50,159.430364154854,1000.01375,1.46841,1.84027931771751,1.00023895876326,238.958763256969,0.0002389587632569,0.0047791752651393
G10-FR4,55,159.437536907372,1000.0165,1.468452,1.84033518158792,1.00028674466746,286.744667462813,0.0002867446674628,0.0057348933492562
G10-FR4,60,159.44470965989,1000.01925,1.468494,1.84039104556729,1.00033452862145,334.52862144645,0.0003345286214464,0.006690572428929
POM-C,-10,158.780831565756,999.98075,1.467906,1.83960895977374,0.996130445303957,-3869.55469604322,-0.0038695546960432,-0.0773910939208644
POM-C,-5,158.868498540972,999.9835,1.467948,1.8396648223361,0.996683236155693,-3316.7638443069,-0.0033167638443069,-0.0663352768861381
POM-C,0,158.956165516187,999.98625,1.46799,1.83972068500751,0.997236027905603,-2763.97209439683,-0.0027639720943968,-0.0552794418879365
POM-C,5,159.043832491403,999.989,1.468032,1.83977654778796,0.997788820550036,-2211.17944996352,-0.0022111794499635,-0.0442235889992704
POM-C,10,159.131499466619,999.99175,1.468074,1.83983241067744,0.998341614085343,-1658.38591465672,-0.0016583859146567,-0.0331677182931345
POM-C,15,159.219166441835,999.9945,1.468116,1.83988827367595,0.998894408507873,-1105.59149212741,-0.0011055914921274,-0.0221118298425482
POM-C,20,159.30683341705,999.99725,1.468158,1.83994413678347,0.999447203813975,-552.796186025217,-0.0005527961860252,-0.0110559237205043
POM-C,25,159.394500392266,1000,1.4682,1.84,1,2.22044604925031e-10,2.2204460492503099e-16,4.44089209850063e-15
POM-C,30,159.482167367482,1000.00275,1.468242,1.84005586332553,1.0005527970623,552.797062298271,0.0005527970622982,0.0110559412459654
POM-C,35,159.569834342698,1000.0055,1.468284,1.84011172676005,1.00110559499722,1105.59499721807,0.001105594997218,0.0221118999443615
POM-C,40,159.657501317913,1000.00825,1.468326,1.84016759030356,1.00165839380111,1658.39380110921,0.0016583938011092,0.0331678760221843
POM-C,45,159.745168293129,1000.011,1.468368,1.84022345395605,1.00221119347032,2211.19347032217,0.0022111934703221,0.0442238694064434
POM-C,50,159.832835268345,1000.01375,1.46841,1.84027931771751,1.00276399400121,2763.99400120586,0.0027639940012058,0.0552798800241172
POM-C,55,159.92050224356,1000.0165,1.468452,1.84033518158792,1.00331679539011,3316.79539011009,0.00331679539011,0.0663359078022019
POM-C,60,160.008169218776,1000.01925,1.468494,1.84039104556729,1.00386959763338,3869.59763338401,0.003869597633384,0.0773919526676803
