Depol_residual,Run,Theta_deg,Delta_rad,Omega_zero_deg_s,Omega_signal_deg_s,Paired_delta_Omega_deg_s,Mean_visibility
0.05,29,21.1232465612208,-0.300722636918717,-2.94110056994815e-05,6.68572932966713e-05,9.62682989961528e-05,0.992700160262786
0.05,30,-8.31389337561612,0.208322419379021,-1.14447021255061e-05,8.81097427915597e-05,9.95544449170658e-05,0.993608295037577
0.025,1,-4.10893988063703,-0.437950057915789,5.84678078855706e-06,0.000103552127249415,9.77053464608576e-05,0.993649698015361
0.025,2,-26.9408963921622,-0.235891361545735,-5.02886462251845e-06,0.000101935064591542,0.00010696392921406,0.993248646570776
0.025,3,23.2908882774107,0.123985552200384,3.86225975199085e-05,0.000138039546520436,9.94169490005279e-05,0.993594953167754
0.025,4,-27.3857988466488,0.37618940947681,1.69152875013095e-05,0.000113780953618401,9.68656661170919e-05,0.992550364533564
0.025,5,16.7018205552814,-0.122189850010387,-1.90441812630949e-05,7.11273514502557e-05,9.01715327133506e-05,0.99363938927661
0.025,6,13.6825972709553,-0.102025070666272,-3.4939857524125e-05,6.3524460038089e-05,9.8464317562214e-05,0.993668143208232
0.025,7,-29.3595318525406,-0.215865366271033,-9.5806336031197e-06,8.95720697763782e-05,9.91527033794979e-05,0.993275607425541
0.025,8,27.6561773203387,-0.102347529959859,-9.22921334024516e-06,9.10897506691135e-05,0.000100318964009359,0.993607561342278
0.025,9,3.98770003070756,-0.484698079064969,5.25997059890127e-05,0.000154777700865496,0.000102177994876483,0.993643413992114
0.025,10,-8.19376350652481,0.226529465834898,-4.98841175621959e-06,9.31669171364518e-05,9.81553288926714e-05,0.993645457051916
0.025,11,-12.7968985757532,-0.199111461880365,4.5277633524562e-05,0.000142443256845853,9.71656233212911e-05,0.993604526927246
0.025,12,-9.27888772140767,0.470830846688624,1.29404919244308e-05,0.000111501513666651,9.85610217422199e-05,0.993435121315545
0.025,13,12.7585753653029,0.269001442261699,6.84628497267785e-06,0.000108361008971918,0.00010151472399924,0.993532033020049
0.025,14,15.4041755611662,-0.225116757834336,-4.98200768396677e-06,8.99975273078878e-05,9.49795349918546e-05,0.993532496566924
0.025,15,-19.1099191423279,0.333401825864016,4.21304108889064e-05,0.000147636812549631,0.000105506401660724,0.993180862838476
0.025,16,-29.5976292008073,-0.171142181416043,-2.95208286960723e-05,7.30637239784897e-05,0.000102584552674562,0.993428155948975
0.025,17,-27.0748640718781,0.0558281111452338,-1.14340599468655e-05,8.92831407483295e-05,0.000100717200695195,0.993669960198074
0.025,18,-29.0327471533893,0.0261220974575634,-3.05888754937079e-05,6.26531085977671e-05,9.3241984091475e-05,0.993689277914538
0.025,19,26.2050608651727,0.173713953129588,4.21641923964902e-06,9.94087788687233e-05,9.51923596290743e-05,0.993461284027351
0.025,20,7.2703279931552,-0.373886247750256,-3.07438658268246e-07,0.000102102164563511,0.000102409603221779,0.993590715747476
0.025,21,-26.675807330441,-0.149985819290389,-1.08734601263551e-05,9.03895533367118e-05,0.000101263013463067,0.993516212996245
0.025,22,5.71766877798078,-0.27839270674328,6.1993361826439e-06,0.000104818106855823,9.86187706731795e-05,0.993658481207152
0.025,23,-20.1905636104503,0.43539031146606,3.0205775826839e-05,0.000130593336759433,0.000100387560932594,0.992749970126141
0.025,24,-4.65580958371986,-0.367720792124354,5.83529126472202e-06,0.000110759203672834,0.000104923912408112,0.99365332042043
0.025,25,-12.7230744901469,0.338260870211096,-2.25142574723728e-06,9.33883241546598e-05,9.56397499018971e-05,0.993441565931827
0.025,26,-24.3116510512366,-0.216030835966127,1.0270891450996e-05,0.000110966813756431,0.000100695922305435,0.993371916654873
0.025,27,29.7094106272753,-0.303196723778948,-5.91265814990356e-05,4.42079048874605e-05,0.000103334486386496,0.992860670545126
0.025,28,8.55041657156982,0.253518170570593,4.83646165678319e-05,0.000149204974292259,0.000100840357724427,0.993627726020829
0.025,29,21.1232465612208,-0.300722636918717,-3.10718670953576e-05,7.7906125892921e-05,0.000108977992988279,0.993197770948005
